"ID_eprime","Eprime.LevelName","Sample","Cycle","inputlist","type","Threshold","balloonfile","explosionfile","maxpumps","maxpumps1","maxpumps2","balloonheight","balloonwidth","BalloonDisplay.RESP","pumps","BARTpermaccount","BARTtempaccount"
80,"PumpList_1","1","2","3",NA,NA,NA,NA,NA,NA,NA,"20%","20%","3","1",NA,NA
80,"PumpList_2","2","2","34",NA,NA,NA,NA,NA,NA,NA,"20.8%","20.8%","3","2",NA,NA
80,"PumpList_3","3","2","34",NA,NA,NA,NA,NA,NA,NA,"21.6%","21.6%","3","3",NA,NA
80,"PumpList_4","4","2","34",NA,NA,NA,NA,NA,NA,NA,"22.4%","22.4%","3","4",NA,NA
80,"PumpList_5","5","2","34",NA,NA,NA,NA,NA,NA,NA,"23.2%","23.2%","3","5",NA,NA
80,"PumpList_6","6","2","34",NA,NA,NA,NA,NA,NA,NA,"24%","24%","3","6",NA,NA
80,"PumpList_7","7","2","34",NA,NA,NA,NA,NA,NA,NA,"24.8%","24.8%","3","7",NA,NA
80,"PumpList_8","8","2","34",NA,NA,NA,NA,NA,NA,NA,"25.6%","25.6%","3","8",NA,NA
80,"PumpList_9","9","2","34",NA,NA,NA,NA,NA,NA,NA,"26.4%","26.4%","3","9",NA,NA
80,"PumpList_10","10","2","34",NA,NA,NA,NA,NA,NA,NA,"27.2%","27.2%","3","10",NA,NA
80,"PumpList_11","11","2","34",NA,NA,NA,NA,NA,NA,NA,"28%","28%","3","11",NA,NA
80,"PumpList_12","12","2","34",NA,NA,NA,NA,NA,NA,NA,"28.8%","28.8%","3","12",NA,NA
80,"PumpList_13","13","2","34",NA,NA,NA,NA,NA,NA,NA,"29.6%","29.6%","3","13",NA,NA
80,"PumpList_14","14","2","34",NA,NA,NA,NA,NA,NA,NA,"30.4%","30.4%","3","14",NA,NA
80,"PumpList_15","15","2","34",NA,NA,NA,NA,NA,NA,NA,"31.2%","31.2%","3","15",NA,NA
80,"PumpList_16","16","2","34",NA,NA,NA,NA,NA,NA,NA,"32%","32%","3","16",NA,NA
80,"PumpList_17","17","2","34",NA,NA,NA,NA,NA,NA,NA,"32.8%","32.8%","3","17",NA,NA
80,"PumpList_18","18","2","34",NA,NA,NA,NA,NA,NA,NA,"33.6%","33.6%","3","18",NA,NA
80,"PumpList_19","19","2","34",NA,NA,NA,NA,NA,NA,NA,"34.4%","34.4%","3","19",NA,NA
80,"PumpList_20","20","2","34",NA,NA,NA,NA,NA,NA,NA,"35.2%","35.2%","3","20",NA,NA
80,"PumpList_21","21","2","34",NA,NA,NA,NA,NA,NA,NA,"36%","36%","3","21",NA,NA
80,"PumpList_22","22","2","34",NA,NA,NA,NA,NA,NA,NA,"36.8%","36.8%","3","22",NA,NA
80,"PumpList_23","23","2","34",NA,NA,NA,NA,NA,NA,NA,"37.6%","37.6%","3","23",NA,NA
80,"PumpList_24","24","2","34",NA,NA,NA,NA,NA,NA,NA,"38.4%","38.4%","3","24",NA,NA
80,"PumpList_25","25","2","34",NA,NA,NA,NA,NA,NA,NA,"39.2%","39.2%","3","25",NA,NA
80,"PumpList_26","26","2","34",NA,NA,NA,NA,NA,NA,NA,"40%","40%","3","26",NA,NA
80,"PumpList_27","27","2","34",NA,NA,NA,NA,NA,NA,NA,"40.8%","40.8%","3","27",NA,NA
80,"PumpList_28","28","2","34",NA,NA,NA,NA,NA,NA,NA,"41.6%","41.6%","3","28",NA,NA
80,"PumpList_29","29","2","34",NA,NA,NA,NA,NA,NA,NA,"42.4%","42.4%","3","29",NA,NA
80,"PumpList_30","30","2","34",NA,NA,NA,NA,NA,NA,NA,"43.2%","43.2%","3","30",NA,NA
80,"PumpList_31","31","2","34",NA,NA,NA,NA,NA,NA,NA,"44%","44%","3","31",NA,NA
80,"PumpList_32","32","2","34",NA,NA,NA,NA,NA,NA,NA,"44.8%","44.8%","3","32",NA,NA
80,"PumpList_33","33","2","34",NA,NA,NA,NA,NA,NA,NA,"45.6%","45.6%","3","33",NA,NA
80,"PumpList_34","34","2","34",NA,NA,NA,NA,NA,NA,NA,"46.4%","46.4%","3","34",NA,NA
80,"PumpList_35","35","2","34",NA,NA,NA,NA,NA,NA,NA,"47.2%","47.2%","3","35",NA,NA
80,"PumpList_36","36","2","34",NA,NA,NA,NA,NA,NA,NA,"48%","48%","3","36",NA,NA
80,"PumpList_37","37","2","34",NA,NA,NA,NA,NA,NA,NA,"48.8%","48.8%","3","37",NA,NA
